Sentiment Analysis:
------------------------ Sentiment of Articles ------------------------
67.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
68.txt	{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.765}
69.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
70.txt	{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.5859}
71.txt	{'neg': 0.084, 'neu': 0.794, 'pos': 0.122, 'compound': 0.4215}
72.txt	{'neg': 0.14, 'neu': 0.86, 'pos': 0.0, 'compound': -0.6597}
73.txt	{'neg': 0.0, 'neu': 0.871, 'pos': 0.129, 'compound': 0.5267}
74.txt	{'neg': 0.211, 'neu': 0.709, 'pos': 0.079, 'compound': -0.8588}
75.txt	{'neg': 0.06, 'neu': 0.855, 'pos': 0.085, 'compound': 0.1531}
76.txt	{'neg': 0.052, 'neu': 0.868, 'pos': 0.08, 'compound': 0.4019}
77.txt	{'neg': 0.278, 'neu': 0.667, 'pos': 0.055, 'compound': -0.9287}
78.txt	{'neg': 0.235, 'neu': 0.725, 'pos': 0.04, 'compound': -0.8834}
79.txt	{'neg': 0.055, 'neu': 0.862, 'pos': 0.083, 'compound': 0.25}
80.txt	{'neg': 0.04, 'neu': 0.928, 'pos': 0.033, 'compound': -0.1027}
81.txt	{'neg': 0.096, 'neu': 0.806, 'pos': 0.098, 'compound': 0.2871}
82.txt	{'neg': 0.305, 'neu': 0.654, 'pos': 0.04, 'compound': -0.9501}
83.txt	{'neg': 0.205, 'neu': 0.795, 'pos': 0.0, 'compound': -0.4767}
84.txt	{'neg': 0.0, 'neu': 0.955, 'pos': 0.045, 'compound': 0.2732}
85.txt	{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.2235}
86.txt	{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.4215}
87.txt	{'neg': 0.04, 'neu': 0.875, 'pos': 0.085, 'compound': 0.4019}
88.txt	{'neg': 0.215, 'neu': 0.691, 'pos': 0.093, 'compound': -0.6808}
89.txt	{'neg': 0.19, 'neu': 0.743, 'pos': 0.067, 'compound': -0.6808}
90.txt	{'neg': 0.072, 'neu': 0.928, 'pos': 0.0, 'compound': -0.4215}
91.txt	{'neg': 0.075, 'neu': 0.895, 'pos': 0.03, 'compound': -0.4215}
92.txt	{'neg': 0.118, 'neu': 0.788, 'pos': 0.094, 'compound': -0.128}
93.txt	{'neg': 0.122, 'neu': 0.817, 'pos': 0.061, 'compound': -0.4289}
94.txt	{'neg': 0.0, 'neu': 0.963, 'pos': 0.037, 'compound': 0.0772}
95.txt	{'neg': 0.0, 'neu': 0.871, 'pos': 0.129, 'compound': 0.5267}
96.txt	{'neg': 0.192, 'neu': 0.724, 'pos': 0.083, 'compound': -0.885}
97.txt	{'neg': 0.103, 'neu': 0.804, 'pos': 0.093, 'compound': -0.0679}
98.txt	{'neg': 0.044, 'neu': 0.874, 'pos': 0.082, 'compound': 0.4019}
99.txt	{'neg': 0.074, 'neu': 0.905, 'pos': 0.021, 'compound': -0.4939}
100.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
101.txt	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
102.txt	{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.5574}
103.txt	{'neg': 0.079, 'neu': 0.699, 'pos': 0.222, 'compound': 0.5719}
104.txt	{'neg': 0.323, 'neu': 0.677, 'pos': 0.0, 'compound': -0.7351}
105.txt	{'neg': 0.0, 'neu': 0.955, 'pos': 0.045, 'compound': 0.2732}
106.txt	{'neg': 0.043, 'neu': 0.798, 'pos': 0.16, 'compound': 0.6249}
107.txt	{'neg': 0.105, 'neu': 0.8, 'pos': 0.096, 'compound': -0.1601}
108.txt	{'neg': 0.0, 'neu': 0.947, 'pos': 0.053, 'compound': 0.3182}
109.txt	{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.6597}
